"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id","logpop"
"Guffey","Guffey","CO","Colorado",8093,"Park",38.7591,-105.5024,10,0,"polygon",FALSE,FALSE,"America/Denver",3,"80820",1840026647,2.30258509299405
"Allentown","Allentown","PA","Pennsylvania",42077,"Lehigh",40.5961,-75.4756,683794,2672,"polygon",FALSE,TRUE,"America/New_York",2,"18105 18104 18101 18103 18102 18109 18001",1840001044,13.4354119816534
"Lake Mathews","Lake Mathews","CA","California",6065,"Riverside",33.825,-117.3683,6792,164,"polygon",FALSE,TRUE,"America/Los_Angeles",3,"92570 92504",1840075920,8.82350072799118
"Sterling Heights","Sterling Heights","MI","Michigan",26099,"Macomb",42.5809,-83.0305,132438,1403,"polygon",FALSE,TRUE,"America/Detroit",2,"48310 48313 48312 48314 48311",1840003094,11.7938698903693
"Cookeville","Cookeville","TN","Tennessee",47141,"Putnam",36.1484,-85.5114,50408,378,"polygon",FALSE,TRUE,"America/Chicago",3,"38501 38506 38505 38502 38503",1840014470,10.8279051716219
"Portage Lakes","Portage Lakes","OH","Ohio",39153,"Summit",41.0034,-81.5347,7087,691,"polygon",FALSE,FALSE,"America/New_York",3,"44319",1840004956,8.86601739881026
"De Lamere","De Lamere","ND","North Dakota",38081,"Sargent",46.2668,-97.3332,28,41,"polygon",FALSE,FALSE,"America/Chicago",3,"58060",1840023879,3.3322045101752
"Grand Island","Grand Island","NE","Nebraska",31079,"Hall",40.9214,-98.3584,53296,665,"polygon",FALSE,TRUE,"America/Chicago",3,"68803 68801",1840000956,10.8836165604335
"Portage","Portage","WI","Wisconsin",55021,"Columbia",43.5489,-89.4658,10465,450,"polygon",FALSE,TRUE,"America/Chicago",3,"53901",1840002712,9.2557916348801
"Togiak","Togiak","AK","Alaska",2070,"Dillingham",59.0693,-160.4727,841,7,"polygon",FALSE,TRUE,"America/Anchorage",3,"99678",1840023276,6.73459165997295
"Paterson","Paterson","NJ","New Jersey",34031,"Passaic",40.9147,-74.1624,145233,6665,"polygon",FALSE,TRUE,"America/New_York",2,"07524 07522 07514 07513 07505 07502 07504 07501 07503 07507 07509 07510 07533 07543 07544",1840000838,11.8860946282776
"Hanford","Hanford","CA","California",6031,"Kings",36.3274,-119.6549,94028,1280,"polygon",FALSE,TRUE,"America/Los_Angeles",3,"93230",1840020382,11.4513478892374
"Mission Viejo","Mission Viejo","CA","California",6059,"Orange",33.6095,-117.655,590249,2058,"polygon",FALSE,TRUE,"America/Los_Angeles",2,"92692 92691 92690",1840020580,13.288299760749
"Amelia","Amelia","OH","Ohio",39025,"Clermont",39.0229,-84.2184,5039,1085,"polygon",FALSE,FALSE,"America/New_York",3,"45102",1840010681,8.5249629286806
"Ruso","Ruso","ND","North Dakota",38055,"McLean",47.8373,-100.9343,4,6,"polygon",FALSE,TRUE,"America/Chicago",3,"58778",1840001896,1.38629436111989
"Gages Lake","Gages Lake","IL","Illinois",17097,"Lake",42.3519,-87.9828,10161,1317,"polygon",FALSE,FALSE,"America/Chicago",3,"60030 60031",1840004638,9.22631214148588
"Des Moines","Des Moines","IA","Iowa",19153,"Polk",41.5725,-93.6105,473957,938,"polygon",FALSE,TRUE,"America/Chicago",2,"50309 50312 50314 50316 50317 50310 50311 50313 50319 50321 50320 50315 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983",1840007069,13.0688718792626
"Seven Springs","Seven Springs","NC","North Carolina",37191,"Wayne",35.2248,-77.8452,111,126,"polygon",FALSE,TRUE,"America/New_York",3,"28578",1840017836,4.70953020131233
"Greasewood","Greasewood","AZ","Arizona",4017,"Navajo",35.5279,-109.8614,454,32,"polygon",FALSE,FALSE,"America/Denver",3,"86505",1840017656,6.11809719804135
"Parker","Parker","CO","Colorado",8035,"Douglas",39.5084,-104.7753,57706,1003,"polygon",FALSE,TRUE,"America/Denver",3,"80138 80134",1840022454,10.9631164332252
"Wheatcroft","Wheatcroft","KY","Kentucky",21233,"Webster",37.4893,-87.8612,153,240,"polygon",FALSE,TRUE,"America/Chicago",3,"42463 42404",1840015241,5.03043792139244
"Universal City","Universal City","TX","Texas",48029,"Bexar",29.5521,-98.3074,20890,1448,"polygon",FALSE,TRUE,"America/Chicago",3,"78148",1840022225,9.94702585455061
"East Jordan","East Jordan","MI","Michigan",26029,"Charlevoix",45.1547,-85.13,2348,302,"polygon",FALSE,TRUE,"America/Detroit",3,"49727",1840003945,7.76131918094799
"Barnstable","Barnstable","MA","Massachusetts",25001,"Barnstable",41.6722,-70.3599,242847,286,"polygon",FALSE,TRUE,"America/New_York",2,"02635 02637 02630 02632 02601 02655 02672 02675 02647 02648 02668 02634",1840031233,12.4001868943931
"Galesburg","Galesburg","IL","Illinois",17095,"Knox",40.9506,-90.3763,33767,657,"polygon",FALSE,TRUE,"America/Chicago",3,"61401 61402",1840008277,10.4272392731883
"Wheaton","Wheaton","KS","Kansas",20149,"Pottawatomie",39.502,-96.3189,113,283,"polygon",FALSE,TRUE,"America/Chicago",3,"66521",1840010636,4.72738781871234
"Hoot Owl","Hoot Owl","OK","Oklahoma",40097,"Mayes",36.36,-95.1214,4,26,"polygon",FALSE,TRUE,"America/Chicago",3,"74365",1840034622,1.38629436111989
"Tallahassee","Tallahassee","FL","Florida",12073,"Leon",30.4551,-84.2526,257601,747,"polygon",FALSE,TRUE,"America/New_York",2,"32311 32312 32399 32304 32303 32301 32309 32308 32302 32306 32307 32313 32314 32315 32316",1840015913,12.4591671551924
